id,week,arrest,fin,age,wexp,mar,paro,prio,educ
1,20,1,1,27,1,2,2,3,3
2,17,1,1,18,1,2,2,8,4
3,25,1,1,19,2,2,2,13,3
4,52,0,2,23,2,1,2,1,5
5,52,0,1,19,2,2,2,3,3
6,52,0,1,24,2,2,1,2,4
7,23,1,1,25,2,1,2,0,4
8,52,0,2,21,2,2,2,4,3
9,52,0,1,22,1,2,1,6,3
10,52,0,1,20,2,2,1,0,5
11,52,0,2,26,1,2,2,3,3
12,52,0,1,40,2,2,1,2,5
13,37,1,1,17,2,2,2,5,3
14,52,0,1,37,2,2,1,2,3
15,25,1,1,20,1,2,2,3,4
16,46,1,2,22,2,2,2,2,3
17,28,1,1,19,1,2,1,7,3
18,52,0,1,20,1,2,1,2,3
19,52,0,1,25,1,2,2,12,3
20,52,0,1,24,2,2,2,1,3
21,52,0,1,23,1,2,2,4,3
22,52,0,2,44,2,1,2,0,3
23,24,1,2,29,2,2,2,2,4
24,52,0,2,28,2,2,2,1,3
25,52,0,2,21,2,2,1,0,4
26,52,0,2,19,2,2,2,2,3
27,52,0,1,33,2,2,2,1,4
28,52,0,1,19,1,2,1,2,3
29,52,0,2,19,1,2,2,3,3
30,52,0,2,23,2,1,2,9,3
31,52,0,2,23,1,2,2,3,5
32,52,0,2,19,1,2,2,1,3
33,52,0,2,42,2,2,1,0,5
34,52,0,1,23,2,1,1,2,4
35,52,0,1,24,2,2,1,3,4
36,50,1,2,20,2,2,2,2,3
37,52,0,1,22,2,2,2,5,3
38,52,0,1,27,2,2,1,2,3
39,52,0,2,19,1,2,1,4,3
40,52,0,1,28,2,2,2,3,3
41,52,0,2,33,2,1,1,9,3
42,52,0,1,24,2,2,2,1,4
43,10,1,1,21,1,2,2,14,3
44,52,0,1,22,1,2,2,2,3
45,52,0,2,19,1,2,2,2,4
46,52,0,2,22,1,2,1,2,4
47,52,0,2,22,1,2,1,15,3
48,20,1,2,23,2,2,2,5,3
49,52,0,1,32,2,1,2,2,2
50,52,0,2,27,2,2,2,0,4
51,52,0,2,36,2,2,1,0,3
52,52,0,2,22,2,2,2,1,4
53,52,0,2,32,2,2,2,1,3
54,50,1,2,19,2,2,1,10,3
55,52,0,1,28,2,1,2,1,5
56,52,0,1,32,2,2,1,3,2
57,52,0,1,33,2,1,2,1,4
58,52,0,1,26,1,2,2,1,2
